Country / Dependency,Population,% of world,Date,Source (official or from the United Nations)
India,1425775850,17.5%,14 Apr 2023,UN projection[89]
China,1409670000,17.3%,17 Jan 2024,National annual estimate[90]
United States,337072024,4.14%,23 Oct 2024,National population clock[91]
Indonesia,278696200,3.42%,1 Jul 2023,National annual estimate[92]
Pakistan,229488994,2.82%,1 Jul 2022,UN projection[93]
Nigeria,216746934,2.66%,1 Jul 2022,UN projection[93]
Brazil,218325829,2.68%,23 Oct 2024,National population clock[94]
Bangladesh,168220000,2.07%,1 Jul 2020,Annual Population Estimate[95]
Russia,147190000,1.81%,1 Oct 2021,2021 preliminary census results[96]
Mexico,128271248,1.58%,31 Mar 2022,
