Year,Pakistan,India
1960,0,52264
1961,-133982,114181
1962,-131607,110398
1963,-129202,48986
1964,-126712,5837
1965,-124241,19077
1966,-122151,-144807
1967,-119938,-124336
1968,-117510,-184326
1969,-114875,-171683
1970,-116631,-45792
1971,-136808,-220417
1972,-138485,-60291
1973,-116081,-62763
1974,-69596,-168162
1975,-3437,-225989
1976,47154,-436104
1977,84000,-31092
1978,110097,-13841
1979,450001,68198
1980,1078233,202323
1981,997103,23662
1982,552153,-26106
1983,73873,46174
1984,-351354,-57788
1985,282435,-112781
1986,199664,-258917
1987,326899,-232178
1988,148304,-103742
1989,68004,-13987
1990,30184,108465
1991,-6127,-158007
1992,-1320633,8198
1993,-278,2440
1994,-276644,110095
1995,296208,-57139
1996,147987,-26079
1997,151546,1240
1998,148849,-28485
1999,148403,-106592
2000,940739,-149966
2001,344288,-177306
2002,-834546,-208070
2003,-578225,-255516
2004,-524871,-214351
2005,-632467,-550186
2006,-628923,-678231
2007,-563471,-769184
2008,-525915,-846785
2009,-338507,-803437
2010,-431891,-380087
2011,-890633,-244114
2012,-1647986,-180991
2013,-1906315,-236387
2014,-2037911,-310694
2015,-2172159,-475094
2016,-2290411,68119
2017,-1574581,-219656
2018,-1309609,-561563
2019,-1177218,-593495
2020,-588736,-34772
2021,-471395,-301970
2022,-165988,-487303
2023,-165988,-486136
