Country,Year,total_population
India,2023,1428627663.0
India,2022,1417173173.0
India,2021,1407563842.0
India,2020,1396387127.0
India,2019,1383112050.0
India,2018,1369003306.0
India,2017,1354195680.0
India,2016,1338636340.0
India,2015,1322866505.0
India,2014,1307246509.0
India,2013,1291132063.0
India,2012,1274487215.0
India,2011,1257621191.0
India,2010,1240613620.0
India,2009,1223640160.0
India,2008,1206734806.0
India,2007,1189691809.0
India,2006,1172373788.0
India,2005,1154638713.0
India,2004,1136264583.0
India,2003,1117415123.0
India,2002,1098313039.0
India,2001,1078970907.0
India,2000,1059633675.0
India,1999,1040500054.0
India,1998,1021434576.0
India,1997,1002335230.0
India,1996,983281218.0
India,1995,964279129.0
India,1994,945261958.0
India,1993,926351297.0
India,1992,907574049.0
India,1991,888941756.0
India,1990,870452165.0
India,1989,852012673.0
India,1988,833729681.0
India,1987,815716125.0
India,1986,797878993.0
India,1985,780242084.0
India,1984,762895156.0
India,1983,745826546.0
India,1982,729169466.0
India,1981,712869298.0
India,1980,696828385.0
India,1979,681248383.0
India,1978,666267760.0
India,1977,651685628.0
India,1976,637451448.0
India,1975,623524219.0
India,1974,609721951.0
India,1973,596107483.0
India,1972,582837973.0
India,1971,569999178.0
India,1970,557501301.0
India,1969,545314670.0
India,1968,533431909.0
India,1967,521987069.0
India,1966,510992617.0
India,1965,500114346.0
India,1964,489059309.0
India,1963,477933619.0
India,1962,467024193.0
India,1961,456351876.0
India,1960,445954579.0
Pakistan,2023,240485658.0
Pakistan,2022,235824862.0
Pakistan,2021,231402117.0
Pakistan,2020,227196741.0
Pakistan,2019,223293280.0
Pakistan,2018,219731479.0
Pakistan,2017,216379655.0
Pakistan,2016,213524840.0
Pakistan,2015,210969298.0
Pakistan,2014,208251628.0
Pakistan,2013,205337562.0
Pakistan,2012,202205861.0
Pakistan,2011,198602738.0
Pakistan,2010,194454498.0
Pakistan,2009,190123222.0
Pakistan,2008,185931955.0
Pakistan,2007,181924521.0
Pakistan,2006,178069984.0
Pakistan,2005,174372098.0
Pakistan,2004,170648620.0
Pakistan,2003,166876680.0
Pakistan,2002,163262807.0
Pakistan,2001,159217727.0
Pakistan,2000,154369924.0
Pakistan,1999,149694462.0
Pakistan,1998,145476106.0
Pakistan,1997,141330267.0
Pakistan,1996,137234810.0
Pakistan,1995,133117476.0
Pakistan,1994,129245139.0
Pakistan,1993,125546615.0
Pakistan,1992,122375179.0
Pakistan,1991,119203569.0
Pakistan,1990,115414069.0
Pakistan,1989,111670386.0
Pakistan,1988,107967838.0
Pakistan,1987,104251093.0
Pakistan,1986,100618523.0
Pakistan,1985,97121552.0
Pakistan,1984,94003867.0
Pakistan,1983,91080372.0
Pakistan,1982,87828198.0
Pakistan,1981,84270202.0
Pakistan,1980,80624057.0
Pakistan,1979,77407341.0
Pakistan,1978,74789330.0
Pakistan,1977,72451105.0
Pakistan,1976,70230923.0
Pakistan,1975,68126999.0
Pakistan,1974,66149169.0
Pakistan,1973,64285624.0
Pakistan,1972,62509565.0
Pakistan,1971,60878781.0
Pakistan,1970,59290872.0
Pakistan,1969,57676805.0
Pakistan,1968,56124743.0
Pakistan,1967,54629793.0
Pakistan,1966,53199414.0
Pakistan,1965,51841626.0
Pakistan,1964,50552592.0
Pakistan,1963,49325050.0
Pakistan,1962,48161841.0
Pakistan,1961,47060915.0
Pakistan,1960,45954226.0
